node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file
10,Q_values,50,55,4,0.6172424869013636,0.4280716746035808,1.0935664176940918,xgboost_model_10.pkl
10,Circuit,50,5,4,0.7756443523207975,0.4029348224806375,0.5770013332366943,xgboost_model_10_Circuit.pkl
12,Q_values,50,78,4,0.973263681788896,0.651812046432209,0.6750011444091797,xgboost_model_12.pkl
12,Circuit,50,5,4,1.1020759160054399,0.6611133797945854,0.5349986553192139,xgboost_model_12_Circuit.pkl
15,Q_values,50,120,4,0.622583397084734,0.19714904235416508,1.2939980030059814,xgboost_model_15.pkl
15,Circuit,50,5,4,0.8026504960938263,0.23385268509828147,0.7309987545013428,xgboost_model_15_Circuit.pkl
20,Q_values,50,210,4,0.6415495631031988,0.27364402026053125,1.1910016536712646,xgboost_model_20.pkl
20,Circuit,50,5,4,0.8523295316704007,0.3308579736492787,0.5334980487823486,xgboost_model_20_Circuit.pkl
25,Q_values,50,325,4,0.7341995035601709,0.2247688013166577,1.4099996089935303,xgboost_model_25.pkl
25,Circuit,50,5,4,0.7018830626529206,0.18262248777489257,0.5344979763031006,xgboost_model_25_Circuit.pkl
full,Q_values,250,325,4,0.7065286016619581,0.30693376130488903,4.393500328063965,xgboost_model_full.pkl
full,Circuit,250,5,4,0.7547501585088493,0.2997144918066306,0.6044983863830566,xgboost_model_full_Circuit.pkl
10,Q_values_full_model,50,325,4,0.224448204760746,0.02424280946741847,0.0,Models/xgboost_model_full.pkl
12,Q_values_full_model,50,325,4,0.3370609483338654,0.2733927976483335,0.0,Models/xgboost_model_full.pkl
15,Q_values_full_model,50,325,4,0.15291816261734162,0.017086893039868167,0.0,Models/xgboost_model_full.pkl
20,Q_values_full_model,50,325,4,0.3886499703063226,0.09308866049479758,0.0,Models/xgboost_model_full.pkl
25,Q_values_full_model,50,325,4,0.1981542933508496,0.026956834783335118,0.0,Models/xgboost_model_full.pkl
