num_nodes,edge_prob,x_0,x_1,x_2,x_3,depth,num_qubits,rx,rz,cx
25.0,0.5,3.179287961894295,2.769064816388737,4.105859988276536,2.7068659341891306,1068,25,75,474,848
25.0,0.5,4.148802805061453,1.5486763896668407,3.883236229463667,1.5606298468768445,1065,25,75,474,848
25.0,0.5,3.234940114612328,1.5548803477469362,3.1225269460695246,2.6059485527881296,1167,25,75,506,912
25.0,0.5,2.223669305505719,1.192654988341376,2.908462592706062,2.719381380048173,1146,25,75,502,904
25.0,0.5,2.5464055658948146,1.004813821333579,4.682177706374463,1.0804529922775303,1182,25,75,518,936
25.0,0.5,2.918313416447135,1.7214139511662387,2.8513944824795625,0.4999126566748509,1302,25,75,582,1064
25.0,0.5,3.1391412930844016,1.5754743811788852,3.1390027402668363,1.5788832908626182,1056,25,75,474,848
25.0,0.5,3.1346183966964425,1.650895616595131,3.0507514381740024,1.5656649498785775,1215,25,75,558,1016
25.0,0.5,4.699734489896184,1.8476992100615095,2.65623699965447,3.021909620164124,1383,25,75,622,1144
25.0,0.5,2.895943817605261,2.023365476682619,3.213675116557299,3.0458961373240965,1299,25,75,582,1064
25.0,0.6,4.13702138779276,1.5701003410114125,4.20280104527525,1.557747640686091,1581,25,75,702,1304
25.0,0.6,3.1436157474864808,1.5886914889130763,3.139707444710317,1.4197932791277554,1176,25,75,518,936
25.0,0.6,3.1509312041926862,1.567697369480168,3.1432542420618983,1.5701428285561394,1380,25,75,610,1120
25.0,0.6,4.128589963178811,1.576220205099525,3.154808863106961,2.689102610074308,1395,25,75,602,1104
25.0,0.6,4.157944073882027,1.5465384972254572,4.036321352459475,2.6288580815298053,1293,25,75,602,1104
25.0,0.6,3.114298839149717,1.5640744503242274,3.1542507957505124,1.5742675281235867,1356,25,75,594,1088
25.0,0.6,4.522166734043015,1.3328151539075266,2.471198399128154,0.9827732830746704,1650,25,75,730,1360
25.0,0.6,3.115081257082637,1.574264051446553,4.105009497094461,1.620387635390096,1290,25,75,558,1016
25.0,0.6,4.1400092070930965,1.5614834764124852,4.140927101438477,1.574008888900257,1374,25,75,594,1088
25.0,0.6,4.819958671773963,3.2020591587094374,2.4661081764332087,0.8083730255804933,1335,25,75,594,1088
25.0,0.7,3.104951767145635,1.6222245853746289,3.0503524613698394,1.4791935883259657,1677,25,75,730,1360
25.0,0.7,4.139877298741324,2.5722379459419864,3.140865722855777,1.592875995501453,1641,25,75,742,1384
25.0,0.7,4.363214378542759,0.8493360763963432,3.034685878806149,0.9217650831421076,1668,25,75,734,1368
25.0,0.7,4.141579579286262,1.5617969288510227,4.139058389182463,1.5672483457317954,1638,25,75,726,1352
25.0,0.7,4.144316876184438,1.579478546919784,4.1375113279919,2.5715314773385347,1527,25,75,666,1232
25.0,0.7,3.745859573563008,1.7855525548315343,3.07014171123198,2.661287307601323,1905,25,75,850,1600
25.0,0.7,4.137604566895261,2.576842546763453,4.132164344321559,1.5591870026543793,1578,25,75,698,1296
25.0,0.7,3.161929453912609,2.5886568490689115,3.1455086560427308,1.5743448884763496,1500,25,75,666,1232
25.0,0.7,4.020112748226071,1.5229257145977495,3.0283912978670937,1.45205338642084,1866,25,75,822,1544
25.0,0.7,3.1494594201920987,2.6085846758282605,3.126254950632356,1.821804547866122,1854,25,75,830,1560
25.0,0.8,3.6042171835108574,2.565465463686015,3.030983891898817,1.3651787144324308,2145,25,75,958,1816
25.0,0.8,3.1328132811968428,1.6254924975312854,3.1218068893230337,1.4611284964079094,1710,25,75,762,1424
25.0,0.8,4.043061202296491,1.5683749157846665,2.901803193683924,2.5678661596699066,1932,25,75,850,1600
25.0,0.8,3.140378874288307,2.570636259599444,3.1148622226764044,1.5665040393596597,2106,25,75,918,1736
25.0,0.8,2.8091347343513964,1.226595865858302,2.3629487284987203,1.1778978788506411,1881,25,75,854,1608
25.0,0.8,3.104143910833504,1.5749047282122517,3.125378328741006,1.4450429780359908,2286,25,75,1038,1976
25.0,0.8,3.140080242700436,1.573309621337294,4.132110527256428,1.569577620906258,1719,25,75,766,1432
25.0,0.8,4.1189885438754015,2.4161394137184047,3.344059635016736,1.6841758810784333,2016,25,75,902,1704
25.0,0.8,3.136517117746377,1.5697938905946431,3.133146257338718,1.569420664068628,2103,25,75,962,1824
25.0,0.8,3.1356865769121534,1.571842148761296,3.1412111675832306,1.5787887596610035,2010,25,75,910,1720
25.0,0.9,4.147728294099982,1.5779704881865133,3.1435873476488325,1.5681683010211267,2277,25,75,1022,1944
25.0,0.9,5.006441848121284,1.3346400009978476,2.70822414745861,2.712808586408609,2412,25,75,1070,2040
25.0,0.9,3.222298939130156,1.6393715876739603,3.0665738912166267,2.5471812696648626,2313,25,75,1058,2016
25.0,0.9,2.544060894810079,0.8709540433577039,4.345589726879388,2.8984490282795097,2244,25,75,1002,1904
25.0,0.9,2.91346867243368,2.8142175757843395,4.136725101228967,2.572134972097456,1863,25,75,830,1560
25.0,0.9,3.1392763210546724,2.5716221345273587,4.159866299780006,2.5746873002394826,2397,25,75,1070,2040
25.0,0.9,3.3299825300566472,1.6866237778081172,4.405151566105275,1.8835807595117608,2565,25,75,1158,2216
25.0,0.9,3.1510113995609914,1.5676066518066405,4.142578884237027,1.570421430929639,2283,25,75,1034,1968
25.0,0.9,4.399906669259009,2.769793442526783,2.46217452200382,1.7963391988363693,2391,25,75,1074,2048
25.0,0.9,3.150963099465905,1.571986375866583,4.139172569340184,1.5685778319189423,2322,25,75,1058,2016
