num_nodes,edge_prob,x_0,x_1,x_2,x_3,depth,num_qubits,rx,rz,cx
15.0,0.5,3.975796220447002,1.5037955968008383,3.2129244230092486,2.413098998812549,576,15,45,266,472
15.0,0.5,4.143578593980105,2.567585560426763,3.103859806575729,1.719493507323376,420,15,45,186,312
15.0,0.5,3.130855710866075,2.045412928902928,3.1116812907432334,1.5120123921324768,465,15,45,214,368
15.0,0.5,4.14690519601269,1.5690909632563863,4.137005740645417,1.588161361347405,369,15,45,162,264
15.0,0.5,3.836813395456656,2.115335056666373,3.796813719457426,2.568937982642548,387,15,45,178,296
15.0,0.5,3.139127067239667,1.5677767157541591,3.139532656304732,1.5618208466239938,474,15,45,214,368
15.0,0.5,4.366283684282622,1.8873825938636304,4.16606544768274,1.5828245254756206,471,15,45,218,376
15.0,0.5,4.231710736952143,1.4779093024325909,3.2009621096583687,1.6322151035734735,456,15,45,202,344
15.0,0.5,3.1379052886147902,2.6235660830826264,4.173041985598386,2.5680448936374005,423,15,45,194,328
15.0,0.5,4.138592717189095,1.5667394884230632,3.130072515688711,1.4489173808218978,417,15,45,194,328
15.0,0.6,4.142351880072644,1.5775328009518823,3.1460674833420104,1.564963712478085,507,15,45,230,400
15.0,0.6,4.149595762066869,1.6304168332879023,3.059812461069332,1.5478937331668128,498,15,45,222,384
15.0,0.6,4.398602877812933,2.600578521206098,4.212541875626798,2.0820758796988748,597,15,45,282,504
15.0,0.6,3.146621542805779,1.5788243984799812,3.138624056020114,1.5695930950043535,516,15,45,230,400
15.0,0.6,4.1920855287368255,1.5496422824590474,3.3324891356892263,1.5823378913681097,534,15,45,238,416
15.0,0.6,3.048104397596953,2.718734599260728,3.11006709927509,1.736650268420942,507,15,45,226,392
15.0,0.6,4.138413255920369,2.697686492280136,3.1746299806656846,1.5725884906072578,579,15,45,258,456
15.0,0.6,3.4182370785763343,1.598675213163358,3.133064007877909,2.446972518349046,537,15,45,246,432
15.0,0.6,4.173209640421123,1.5506551278166254,3.261799691283405,2.6552727128512745,444,15,45,206,352
15.0,0.6,2.911263712462923,1.7338723454679987,3.562097712389091,2.619433413916066,432,15,45,202,344
15.0,0.7,4.138041154685469,1.5694351253743304,3.142708172012641,1.5616153897581055,639,15,45,278,496
15.0,0.7,4.144531363233888,1.567177785223955,3.141363840748533,2.579640408839447,708,15,45,322,584
15.0,0.7,3.019465861313541,2.683499014346514,2.372994049087651,3.164675607043848,660,15,45,310,560
15.0,0.7,4.461491757081932,1.7776357605932749,2.9663843222916886,2.724379391987694,630,15,45,278,496
15.0,0.7,3.947745020636722,1.7554098297934695,3.090297108695775,1.5566756274642914,774,15,45,350,640
15.0,0.7,3.9341233989631847,1.386297117907374,2.895299544474463,1.566538627662122,654,15,45,290,520
15.0,0.7,4.141070416791233,2.577740373656267,4.142868624034715,1.5637337931604982,561,15,45,262,464
15.0,0.7,4.133235153504107,2.656568407772234,3.1772928247433416,2.580807197714925,621,15,45,286,512
15.0,0.7,4.269536803440196,1.1985652051222733,3.049291722941021,1.2816735831655677,723,15,45,334,608
15.0,0.7,4.127794435506526,1.5654885307920627,3.1479626691861418,2.570531752556528,576,15,45,258,456
15.0,0.8,3.1422135900510924,2.579549584860445,3.14638349069965,1.5705894670942415,807,15,45,370,680
15.0,0.8,3.3193015274380526,1.379401468984907,3.0174969252151103,0.4950660200387989,684,15,45,306,552
15.0,0.8,3.7083952144128767,2.106270382169759,4.30511748545612,2.5808709866501256,543,15,45,246,432
15.0,0.8,3.1422676713186606,2.5794893458773758,3.136696602501541,1.5707295882108625,738,15,45,334,608
15.0,0.8,3.1483039810054194,1.5755459860408416,3.1267545409967443,1.584352940924148,693,15,45,318,576
15.0,0.8,2.8502342438957724,3.5624921784298027,2.6604385874570693,2.5417480029418518,783,15,45,350,640
15.0,0.8,3.082545736119218,1.5421781304880406,4.161395998129188,1.56117725585616,633,15,45,294,528
15.0,0.8,4.221839080346336,1.405146906395533,3.1682809161459144,1.3981922784900678,765,15,45,350,640
15.0,0.8,2.324589183393472,1.203652784904352,2.7870714729949566,2.8375692443149423,783,15,45,350,640
15.0,0.8,4.150146383842677,1.5670694676307713,4.157705798988563,2.571379849420793,675,15,45,306,552
15.0,0.9,2.0479957748361888,1.2451828057786942,3.15208640622106,1.5961822150935558,858,15,45,398,736
15.0,0.9,3.785558669451339,2.678976602138556,3.002349987355387,1.6005868879160692,891,15,45,410,760
15.0,0.9,3.5915373783519327,2.6486986393189387,3.053222050096901,1.3956549500261686,918,15,45,414,768
15.0,0.9,4.969231289172303,1.102376964539059,2.8824452561052616,1.509707435762006,804,15,45,362,664
15.0,0.9,3.430909437297503,2.90183740611294,3.885273114805734,1.539059686823316,912,15,45,418,776
15.0,0.9,3.1507504344792707,1.5701206641941332,4.144821291355734,1.568504073011697,888,15,45,402,744
15.0,0.9,3.135416178979864,2.559012539272131,3.1510399528852964,1.5797177666517912,834,15,45,382,704
15.0,0.9,4.216078794579201,1.560177732991093,2.992581059230275,2.6551403041105184,882,15,45,414,768
15.0,0.9,4.135451756623204,1.5663812913993187,3.1412201687199603,2.5773276438078176,801,15,45,358,656
15.0,0.9,4.162933299772115,1.5497136006822438,3.1762166079735654,2.5733995179373426,891,15,45,402,744
