,Size,Features,Model,Best_RMSE,Worst_RMSE,Median_RMSE,IQR_RMSE,Best_MAPE,Worst_MAPE,Median_MAPE,IQR_MAPE
0,10,QUBO,GNN,0.596,0.666,0.622,0.021,0.202,0.254,0.219,0.015
1,10,QUBO,MLP,0.590,0.598,0.597,0.004,0.244,0.256,0.255,0.006
2,10,QUBO,XGBoost,0.581,0.636,0.607,0.018,0.404,0.463,0.434,0.022
3,10,Ansatz,MLP,0.546,0.554,0.553,0.001,0.384,0.399,0.397,0.002
4,10,Ansatz,XGBoost,0.746,0.777,0.762,0.011,0.389,0.409,0.400,0.007
5,10,Padding,MLP,0.595,0.603,0.602,0.001,0.259,0.269,0.268,0.002
6,10,Padding,XGBoost,0.209,0.247,0.225,0.017,0.022,0.028,0.025,0.002
7,12,QUBO,GNN,0.607,0.883,0.675,0.070,0.167,0.279,0.208,0.032
8,12,QUBO,MLP,0.714,0.718,0.716,0.001,0.571,0.580,0.577,0.002
9,12,QUBO,XGBoost,0.967,1.026,0.987,0.021,0.650,0.688,0.668,0.009
10,12,Ansatz,MLP,0.859,0.865,0.863,0.002,0.530,0.542,0.540,0.002
11,12,Ansatz,XGBoost,1.096,1.112,1.105,0.008,0.658,0.666,0.661,0.002
12,12,Padding,MLP,0.709,0.721,0.711,0.001,0.560,0.573,0.570,0.003
13,12,Padding,XGBoost,0.312,0.373,0.346,0.015,0.248,0.290,0.271,0.010
14,15,QUBO,GNN,0.762,0.954,0.842,0.095,0.186,0.247,0.206,0.022
15,15,QUBO,MLP,0.692,0.707,0.705,0.001,0.291,0.305,0.303,0.001
16,15,QUBO,XGBoost,0.586,0.633,0.614,0.023,0.175,0.199,0.192,0.006
17,15,Ansatz,MLP,0.521,0.534,0.522,0.001,0.171,0.178,0.177,0.001
18,15,Ansatz,XGBoost,0.793,0.811,0.799,0.009,0.227,0.237,0.231,0.004
19,15,Padding,MLP,0.681,0.688,0.686,0.002,0.283,0.293,0.291,0.003
20,15,Padding,XGBoost,0.114,0.190,0.143,0.022,0.014,0.022,0.017,0.002
21,20,QUBO,GNN,0.715,1.123,0.939,0.141,0.201,0.332,0.248,0.039
22,20,QUBO,MLP,0.603,0.610,0.604,0.001,0.218,0.228,0.227,0.001
23,20,QUBO,XGBoost,0.624,0.682,0.649,0.016,0.262,0.291,0.278,0.015
24,20,Ansatz,MLP,0.611,0.613,0.611,0.000,0.248,0.260,0.259,0.001
25,20,Ansatz,XGBoost,0.845,0.853,0.850,0.002,0.329,0.331,0.330,0.001
26,20,Padding,MLP,0.585,0.588,0.586,0.000,0.222,0.231,0.227,0.003
27,20,Padding,XGBoost,0.362,0.418,0.397,0.024,0.079,0.099,0.092,0.006
28,25,QUBO,GNN,1.260,1.729,1.464,0.091,0.186,0.272,0.214,0.024
29,25,QUBO,MLP,0.524,0.541,0.539,0.002,0.167,0.180,0.178,0.002
30,25,QUBO,XGBoost,0.714,0.768,0.741,0.016,0.210,0.238,0.225,0.011
31,25,Ansatz,MLP,0.674,0.692,0.676,0.003,0.215,0.219,0.219,0.001
32,25,Ansatz,XGBoost,0.688,0.708,0.699,0.004,0.182,0.192,0.187,0.003
33,25,Padding,MLP,0.521,0.535,0.531,0.005,0.176,0.188,0.185,0.004
34,25,Padding,XGBoost,0.164,0.223,0.195,0.024,0.021,0.029,0.026,0.003
35,All,QUBO,GNN,0.647,1.090,0.743,0.149,1.26E+14,1.11E+15,2.77E+14,1.79E+14
36,All,QUBO,MLP,0.616,0.620,0.617,0.001,0.233,0.241,0.240,0.001
37,All,QUBO,XGBoost,0.703,0.731,0.718,0.011,0.300,0.313,0.306,0.003
38,All,Ansatz,MLP,0.655,0.666,0.655,0.001,0.287,0.298,0.296,0.001
39,All,Ansatz,XGBoost,0.748,0.763,0.753,0.003,0.297,0.304,0.300,0.001
