,Size,Features,Model,Best_RMSE,Worst_RMSE,Median_RMSE,IQR_RMSE,Best_MAPE,Worst_MAPE,Median_MAPE,IQR_MAPE
0,10,QUBO,GNN,0.5851,0.6978,0.6303,0.0245,0.1887,0.2637,0.2226,0.0199
1,10,QUBO,MLP,0.5967,0.5967,0.5967,0,0.2543,0.2543,0.2543,0
2,10,QUBO,XGBoost,0.6118,0.6118,0.6118,0,0.4269,0.4269,0.4269,0
3,10,Ansatz,MLP,0.5529,0.5529,0.5529,0,0.3974,0.3974,0.3974,0
4,10,Ansatz,XGBoost,0.7739,0.7739,0.7739,0,0.4080,0.4080,0.4080,0
5,10,Padding,MLP,0.6041,0.6041,0.6041,0,0.2701,0.2701,0.2701,0
6,10,Padding,XGBoost,0.2231,0.2231,0.2231,0,0.0268,0.0268,0.0268,0
7,12,QUBO,GNN,0.5447,0.7822,0.6648,0.0363,0.1589,0.2570,0.1935,0.0363
8,12,QUBO,MLP,0.7155,0.7155,0.7155,0,0.5785,0.5785,0.5785,0
9,12,QUBO,XGBoost,0.9854,0.9854,0.9854,0,0.6653,0.6653,0.6653,0
10,12,Ansatz,MLP,0.8639,0.8639,0.8639,0,0.5396,0.5396,0.5396,0
11,12,Ansatz,XGBoost,1.0976,1.0976,1.0976,0,0.6603,0.6603,0.6603,0
12,12,Padding,MLP,0.7077,0.7077,0.7077,0,0.5704,0.5704,0.5704,0
13,12,Padding,XGBoost,0.3264,0.3264,0.3264,0,0.2672,0.2672,0.2672,0
14,15,QUBO,GNN,0.742,0.9968,0.8119,0.0967,0.1806,0.2439,0.2069,0.0187
15,15,QUBO,MLP,0.7057,0.7057,0.7057,0,0.3040,0.3040,0.3040,0
16,15,QUBO,XGBoost,0.63,0.6300,0.6300,0,0.1995,0.1995,0.1995,0
17,15,Ansatz,MLP,0.522,0.5220,0.5220,0,0.1768,0.1768,0.1768,0
18,15,Ansatz,XGBoost,0.8007,0.8007,0.8007,0,0.2326,0.2326,0.2326,0
19,15,Padding,MLP,0.6864,0.6864,0.6864,0,0.2916,0.2916,0.2916,0
20,15,Padding,XGBoost,0.1349,0.1349,0.1349,0,0.0159,0.0159,0.0159,0
21,20,QUBO,GNN,0.8109,1.2262,1.0194,0.1327,0.1912,0.3318,0.2470,0.0423
22,20,QUBO,MLP,0.6031,0.6031,0.6031,0,0.2273,0.2273,0.2273,0
23,20,QUBO,XGBoost,0.628,0.6280,0.6280,0,0.2644,0.2644,0.2644,0
24,20,Ansatz,MLP,0.6114,0.6114,0.6114,0,0.2598,0.2598,0.2598,0
25,20,Ansatz,XGBoost,0.8512,0.8512,0.8512,0,0.3297,0.3297,0.3297,0
26,20,Padding,MLP,0.5865,0.5865,0.5865,0,0.2281,0.2281,0.2281,0
27,20,Padding,XGBoost,0.406,0.4060,0.4060,0,0.0931,0.0931,0.0931,0
28,25,QUBO,GNN,1.2358,1.8815,1.4635,0.2012,0.1892,0.2886,0.2229,0.0296
29,25,QUBO,MLP,0.5399,0.5399,0.5399,0,0.1792,0.1792,0.1792,0
30,25,QUBO,XGBoost,0.7515,0.7515,0.7515,0,0.2382,0.2382,0.2382,0
31,25,Ansatz,MLP,0.6749,0.6749,0.6749,0,0.2187,0.2187,0.2187,0
32,25,Ansatz,XGBoost,0.6987,0.6987,0.6987,0,0.1887,0.1887,0.1887,0
33,25,Padding,MLP,0.5338,0.5338,0.5338,0,0.1870,0.1870,0.1870,0
34,25,Padding,XGBoost,0.1972,0.1972,0.1972,0,0.0270,0.0270,0.0270,0
35,All,QUBO,GNN,0.6105,0.8750,0.7119,0.0551,1.12E+14,5.77E+14,2.50E+14,5.96E+13
36,All,QUBO,MLP,0.6171,0.6171,0.6171,0,0.2405,0.2405,0.2405,0
37,All,QUBO,XGBoost,0.7128,0.7128,0.7128,0,0.3058,0.3058,0.3058,0
38,All,Ansatz,MLP,0.6549,0.6549,0.6549,0,0.2964,0.2964,0.2964,0
39,All,Ansatz,XGBoost,0.7546,0.7546,0.7546,0,0.2998,0.2998,0.2998,0
