,Size,Model,Best_Time,Worst_Time,Median_Time,IQR_Time,Best_Time_Speedup,Worst_Time_Speedup,Median_Time_Speedup,IQR_Time_Speedup,Best_Cut,Worst_Cut,Median_Cut,IQR_Cut,Best_Cut_Ratio,Worst_Cut_Ratio,Median_Cut_Ratio,IQR_Cut_Ratio,Best_Tradeoff,Worst_Tradeoff,Median_Tradeoff,IQR_Tradeoff,Optimal_Cut
0,10,Vanilla,1.118,2.529,1.791,0.813,0.000,0.000,0.000,0.000,14.368,4.273,9.682,3.141,0.963,0.380,0.782,0.144,0.000,0.000,0.000,0.000,11.951
1,10,xgboost,0.075,0.891,0.099,0.034,29.187,1.481,17.162,10.017,13.167,5.482,8.529,2.539,0.895,0.518,0.723,0.099,0.321,-0.346,-0.067,0.176,11.951
2,10,MLP,0.017,0.152,0.024,0.018,143.694,8.921,60.005,57.561,12.511,3.054,8.835,3.671,0.934,0.254,0.752,0.216,0.189,-0.584,-0.051,0.232,11.951
3,12,Vanilla,1.502,3.721,2.361,0.387,0.000,0.000,0.000,0.000,21.420,8.068,12.830,3.199,0.906,0.571,0.731,0.096,0.000,0.000,0.000,0.000,17.810
4,12,xgboost,0.044,0.089,0.062,0.022,55.366,22.741,36.135,16.896,17.520,5.177,13.179,2.866,0.904,0.357,0.747,0.210,0.257,-0.448,0.036,0.229,17.810
5,12,MLP,0.018,0.054,0.024,0.014,139.930,45.549,83.471,54.450,21.184,7.590,12.773,3.163,0.896,0.397,0.737,0.132,0.269,-0.364,0.042,0.136,17.810
6,15,Vanilla,2.412,5.154,3.129,0.745,0.000,0.000,0.000,0.000,27.080,10.750,18.093,7.386,0.848,0.430,0.692,0.127,0.000,0.000,0.000,0.000,27.847
7,15,xgboost,0.061,0.105,0.075,0.015,56.446,30.973,41.939,10.161,28.562,11.673,19.040,6.597,0.847,0.516,0.730,0.124,0.334,-0.323,0.029,0.200,27.847
8,15,MLP,0.035,0.111,0.055,0.021,86.117,31.298,60.178,26.527,27.916,9.929,18.438,7.257,0.888,0.459,0.730,0.158,0.419,-0.348,0.018,0.211,27.847
9,20,Vanilla,10.048,21.867,15.331,4.450,0.000,0.000,0.000,0.000,45.645,19.815,33.100,12.177,1.098,0.660,0.837,0.173,0.000,0.000,0.000,0.000,38.032
10,20,xgboost,0.373,0.907,0.466,0.089,41.338,20.910,31.090,5.347,48.702,16.063,33.649,15.295,1.022,0.478,0.876,0.106,0.281,-0.336,0.021,0.177,38.032
11,20,MLP,0.386,0.981,0.492,0.087,40.465,19.335,30.450,4.522,49.111,18.892,29.956,12.310,1.019,0.592,0.816,0.197,0.249,-0.357,0.000,0.170,38.032
12,25,Vanilla,363.253,660.152,507.196,110.622,0.000,0.000,0.000,0.000,79.338,32.428,61.339,21.857,1.048,0.700,0.897,0.114,0.000,0.000,0.000,0.000,63.414
13,25,xgboost,14.491,27.143,17.307,2.438,35.798,23.128,28.206,5.492,78.247,35.557,59.712,23.542,1.003,0.759,0.912,0.097,0.276,-0.211,-0.012,0.142,63.414
14,25,MLP,14.500,27.036,17.241,2.717,35.141,23.079,28.149,5.006,77.724,35.434,53.023,24.467,0.993,0.776,0.882,0.105,0.175,-0.204,-0.008,0.140,63.414
