,Size,Features,Model,Best RMSE,Worst RMSE,Median RMSE,IQR RMS,Best MAPE,Worst MAPE,Median MAPE,IQR MAPE
0,10,QUBO,GNN,0.5851,0.6978,0.6303,0.0245,0.1887,0.2637,0.2226,0.0199
1,10,Q_values,MLP,0.5967,0.5967,0.5967,0,0.2543,0.2543,0.2543,0
2,10,Q_values,XGBoost,0.6118,0.6118,0.6118,0,0.4269,0.4269,0.4269,0
3,10,Ansatz,MLP,0.5529,0.5529,0.5529,0,0.3974,0.3974,0.3974,0
4,10,Circuit,XGBoost,0.7739,0.7739,0.7739,0,0.408,0.408,0.408,0
5,10,General,MLP,0.6041,0.6041,0.6041,0,0.2701,0.2701,0.2701,0
6,10,Q_values_full_model,XGBoost,0.2231,0.2231,0.2231,0,0.0268,0.0268,0.0268,0
7,12,QUBO,GNN,0.5447,0.7822,0.6648,0.0363,0.1589,0.257,0.1935,0.0363
8,12,Q_values,MLP,0.7155,0.7155,0.7155,0,0.5785,0.5785,0.5785,0
9,12,Q_values,XGBoost,0.9854,0.9854,0.9854,0,0.6653,0.6653,0.6653,0
10,12,Ansatz,MLP,0.8639,0.8639,0.8639,0,0.5396,0.5396,0.5396,0
11,12,Circuit,XGBoost,1.0976,1.0976,1.0976,0,0.6603,0.6603,0.6603,0
12,12,General,MLP,0.7077,0.7077,0.7077,0,0.5704,0.5704,0.5704,0
13,12,Q_values_full_model,XGBoost,0.3264,0.3264,0.3264,0,0.2672,0.2672,0.2672,0
14,15,QUBO,GNN,0.742,0.9968,0.8119,0.0967,0.1806,0.2439,0.2069,0.0187
15,15,Q_values,MLP,0.7057,0.7057,0.7057,0,0.304,0.304,0.304,0
16,15,Q_values,XGBoost,0.63,0.63,0.63,0,0.1995,0.1995,0.1995,0
17,15,Ansatz,MLP,0.522,0.522,0.522,0,0.1768,0.1768,0.1768,0
18,15,Circuit,XGBoost,0.8007,0.8007,0.8007,0,0.2326,0.2326,0.2326,0
19,15,General,MLP,0.6864,0.6864,0.6864,0,0.2916,0.2916,0.2916,0
20,15,Q_values_full_model,XGBoost,0.1349,0.1349,0.1349,0,0.0159,0.0159,0.0159,0
21,20,QUBO,GNN,0.8109,1.2262,1.0194,0.1327,0.1912,0.3318,0.247,0.0423
22,20,Q_values,MLP,0.6031,0.6031,0.6031,0,0.2273,0.2273,0.2273,0
23,20,Q_values,XGBoost,0.628,0.628,0.628,0,0.2644,0.2644,0.2644,0
24,20,Ansatz,MLP,0.6114,0.6114,0.6114,0,0.2644,0.2598,0.2598,0
25,20,Circuit,XGBoost,0.8512,0.8512,0.8512,0,0.3297,0.3297,0.3297,0
26,20,General,MLP,0.5865,0.5865,0.5865,0,0.2281,0.2281,0.2281,0
27,20,Q_values_full_model,XGBoost,0.406,0.406,0.406,0,0.0931,0.0931,0.0931,0
28,25,QUBO,GNN,1.2358,1.8815,1.4635,0.2012,0.1892,0.2886,0.2229,0.0296
29,25,Q_values,MLP,0.5399,0.5399,0.5399,0,0.1792,0.1792,0.1792,0
30,25,Q_values,XGBoost,0.7515,0.7515,0.7515,0,0.2382,0.2382,0.2382,0
31,25,Ansatz,MLP,0.6749,0.6749,0.6749,0,0.2187,0.2187,0.2187,0
32,25,Circuit,XGBoost,0.6987,0.6987,0.6987,0,0.1887,0.1887,0.1887,0
33,25,General,MLP,0.5338,0.5338,0.5338,0,0.187,0.187,0.187,0
34,25,Q_values_full_model,XGBoost,0.1972,0.1972,0.1972,0,0.027,0.027,0.027,0
35,full,QUBO,GNN,0.6105,0.875,0.7119,0.0551,1.12E+14,5.77E+14,2.50E+14,5.96E+13
36,full,Q_values,MLP,0.6171,0.6171,0.6171,0,0.2405,0.2405,0.2405,0
37,full,Q_values,XGBoost,0.7128,0.7128,0.7128,0,0.3058,0.3058,0.3058,0
38,full,Ansatz,MLP,0.6549,0.6549,0.6549,0,0.2964,0.2964,0.2964,0
39,full,Circuit,XGBoost,0.7546,0.7546,0.7546,0,0.2998,0.2998,0.2998,0
