,Size,Model,Best Time,Worst Time,Median Time,IQR Time,Best Time Speedup,Worst Time Speedup,Median Time Speedup,IQR Time Speedup
0,10,Vanilla,0.577,1.144,0.721,0.162,0.000,1.144,0.000,0.000
1,10,xgboost,0.112,0.129,0.116,0.005,10.005,0.129,5.969,1.298
2,10,MLP,0.012,0.017,0.013,0.001,85.293,0.017,52.654,8.318
3,12,Vanilla,0.622,1.208,0.849,0.225,0.000,1.208,0.000,0.000
4,12,xgboost,0.027,0.047,0.031,0.002,38.976,0.047,27.125,5.079
5,12,MLP,0.013,0.020,0.015,0.002,75.967,0.020,54.117,10.051
6,15,Vanilla,0.879,1.647,1.169,0.382,0.000,1.647,0.000,0.000
7,15,xgboost,0.030,0.078,0.033,0.004,47.307,0.078,35.394,6.966
8,15,MLP,0.017,0.035,0.020,0.003,76.847,0.035,60.096,8.697
9,20,Vanilla,3.332,6.189,5.254,1.092,0.000,6.189,0.000,0.000
10,20,xgboost,0.132,0.221,0.174,0.021,38.440,0.221,29.876,5.382
11,20,MLP,0.117,0.221,0.166,0.022,42.683,0.221,31.673,4.386
12,25,Vanilla,131.668,223.345,175.448,55.695,0.000,223.345,0.000,0.000
13,25,xgboost,5.732,8.659,6.951,1.546,31.443,8.659,23.925,2.261
14,25,MLP,5.724,8.586,6.933,1.516,31.511,8.586,23.976,2.228
,,,,,,,,,,
,,,,,,,,,,
,Size,Model,Best Cut,Worst Cut,Median Cut,IQR Cut,Best Cut Ratio,Worst Cut Ratio,Median Cut Ratio,IQR Cut Ratio
,10,Vanilla,13.313,5.367,8.915,3.002,0.494,0.927,0.757,0.194
,10,xgboost,12.796,3.817,8.405,3.173,0.453,0.950,0.684,0.132
,10,MLP,13.643,3.878,8.923,3.062,0.453,1.000,0.728,0.166
,12,Vanilla,19.385,5.538,13.303,5.352,0.392,0.947,0.736,0.179
,12,xgboost,19.630,5.846,12.078,2.943,0.329,0.940,0.692,0.188
,12,MLP,18.272,8.738,13.956,3.698,0.457,0.877,0.763,0.124
,15,Vanilla,30.309,9.396,20.582,6.437,0.549,0.903,0.759,0.080
,15,xgboost,29.432,10.844,19.361,6.824,0.576,0.879,0.739,0.095
,15,MLP,31.079,9.541,19.149,9.109,0.351,0.911,0.714,0.182
,20,Vanilla,51.398,22.366,37.625,14.993,0.647,1.053,0.874,0.115
,20,xgboost,48.259,14.699,38.082,11.756,0.488,1.021,0.871,0.122
,20,MLP,48.365,20.509,38.198,13.338,0.610,1.040,0.882,0.084
,25,Vanilla,82.699,36.225,52.751,21.748,0.779,1.063,0.903,0.094
,25,xgboost,75.277,36.622,55.853,21.572,0.735,1.040,0.905,0.121
,25,MLP,78.812,38.746,52.499,21.690,0.760,0.997,0.920,0.069
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Size,Model,Best Tradeoff,Worst Tradeoff,Median Tradeoff,IQR Tradeoff,,,,
,10,Vanilla,0.000,0.000,0.000,0.000,,,,
,10,xgboost,-0.470,0.361,-0.083,0.278,,,,
,10,MLP,-0.450,0.352,-0.021,0.183,,,,
,12,Vanilla,0.000,0.000,0.000,0.000,,,,
,12,xgboost,-0.441,0.448,-0.029,0.225,,,,
,12,MLP,-0.363,0.226,0.035,0.152,,,,
,15,Vanilla,0.000,0.000,0.000,0.000,,,,
,15,xgboost,-0.251,0.224,-0.033,0.099,,,,
,15,MLP,-0.430,0.109,-0.031,0.184,,,,
,20,Vanilla,0.000,0.000,0.000,0.000,,,,
,20,xgboost,-0.329,0.356,-0.038,0.162,,,,
,20,MLP,-0.160,0.157,0.011,0.150,,,,
,25,Vanilla,0.000,0.000,0.000,0.000,,,,
,25,xgboost,-0.131,0.159,0.018,0.149,,,,
,25,MLP,-0.211,0.152,0.004,0.074,,,,
